StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,interviewer,interview,interviewer_age,interviewer_gender,training,training_desc,planning_int,conducting_int,new_info_interviewer,training_qual,different_qual
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,ID,Interview,Please state your age,Please state your gender.,Have you received any previous interview training outside of the current study?,Briefly describe any previous interviewing training you have received below.,Please assess how well you applied your training when you planned the interview.,Please assess how well you applied your training while conducting the interview.,How much new information do you think you learned about the suspects activities from the interview?,Please provide a brief description of how you applied the training to the planning and performance of the interview.,Is there anything you would have liked to do differently regarding the interview?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}"
2023-09-16 13:35:48,2023-09-16 13:44:10,IP Address,130.241.218.82,100,501,True,2023-09-16 13:44:11,R_Q51OC3n3VuhfLBT,,,,,57.8833,11.8167,anonymous,EN,8,1,23,Female,No,,6,,2,"I planned open ended questions so that the suspect could freely talk and so as to not pressure or influence their answers. I made sure to write down questions about both the things that I knew already (such as what floors of a building the suspect had visited) and the things I did not know (like how they got from point A to B). I used training to start the interview by introducing myself, the purpose of the interview, and by asking the first open question ""tell me about today"".  "," The performance of the interview went very differently to what I thought it would. The suspect did not speak as freely as I had hoped, and mostly just avoided my questions. This immediately made me ask more pressuring and closed questions, which was difficult to change mid-interview. It was also difficult to take time to think properly, as I didn't want to disrupt the flow of back and forth talking, and felt that being silent for long periods of time was awkward. So, there was a lot I would have liked to do differently. However, considering this is the first time I have done this, and the suspect did not answer questions the way I thought they would, I hope to be able to do better next time. "
2023-09-16 13:38:36,2023-09-16 13:46:19,IP Address,130.241.217.45,100,462,True,2023-09-16 13:46:19,R_b41AWsqoTEdYPJv,,,,,57.7065,11.967,anonymous,EN,4,1,23,Male,No,,5,3,3,In planning my intention was to ask as open questions as possible to have the suspect give their version of what happened during the day. I open and closed as instructed. The suspect was not very informative and I ended up asking quite a lot of 'closed' questions.,Perhaps I should have confronted the person with the evidence provided. The suspect denied being anywhere else but in her office on the second floor whereas CCTV footage as well as witnesses testimonies contradicted this.
2023-09-16 13:46:13,2023-09-16 13:58:11,IP Address,130.241.218.51,100,718,True,2023-09-16 13:58:11,R_ODpc63iAcCGBTwJ,,,,,57.8833,11.8167,anonymous,EN,5,1,24,Female,No,,Extremely well,5,5,"I applied what i learned about the planing process such as assessing the thing we know and we dont, creating a structure plan to guide me and pointing out the things I must ask about. 

In the interview I found it a little hard to follow the stroyline of the suspect and the information that was given right in the moment, it is like multitasking. But I managed to get new information and I felt proud about that and I had to keep myself stable when I realised the suspect gave information we did not know before.","As an improvement for myself, -i must give attention to the little facts such as which key in which room opens which place, (what someone needs to do priorly for a particular action) . Because during the storyline i realised the importance of it and this was the reason how i got the new information as well. "
2023-09-16 13:58:02,2023-09-16 14:06:33,IP Address,130.241.217.216,100,511,True,2023-09-16 14:06:34,R_3avpTlbR4jRXcrL,,,,,57.7065,11.967,anonymous,EN,2,1,20,Female,Yes,"I have got about 2hours of interview training about the basics of interviewing, the opening and closing, good types of questions to ask, how to structure a interview etc",6,5,3,"I made a plan beforehand about the information I had and the information that I didn't have to better get a picture of what I wantet to ask about during the interviw. I also made a structure how to open the meeting, what to ask and how to close it. Then during the interview I tried to use the questiontecnics we had learnd to ask good questions but it was quite difficult.",I would like to have gone deeper with some questions about the places and people the suspect had encounterd. I was afraid of asking too closed or leading question so I keept it very broad during the entire interview which I think was a mistake.
2023-09-16 14:08:11,2023-09-16 14:16:09,IP Address,130.241.217.196,100,477,True,2023-09-16 14:16:09,R_0jqQai4hDFS4Czf,,,,,57.7065,11.967,anonymous,EN,1,1,53,Female,No,,6,5,A substantial amount,"I started by letting the suspect tell his own story. Using the evidence report, I targeted him with questions pertaining each floor. It was evident that the suspect was not sticking to the story, therefore I went back and forth with same or similar questions.","Perhaps taken more into account that the suspects answers may not be the same as what I thought they'd be. 

I would have liked to apply all of the - who, what, where and how questions."
2023-09-16 14:54:29,2023-09-16 14:56:56,IP Address,130.241.217.45,100,146,True,2023-09-16 14:56:57,R_1lxXFX8xN0hVjiE,,,,,57.7065,11.967,anonymous,EN,4,2,,,,,5,4,5,Opening and closing as instructed. Trying not to alter the persons memory of the event and get their side of the story,Maybe I was accusatory when I said that we had CCTV footage of him being in mr. Lukes office
2023-09-16 14:55:09,2023-09-16 14:59:21,IP Address,130.241.218.82,100,251,True,2023-09-16 14:59:21,R_1LzWYj87YbWKM02,,,,,57.8833,11.8167,anonymous,EN,8,2,,,,,5,4,4,"I planned to ask open questions and did so fairly well. I introduced myself, the reason for speaking, and thanked the suspect for their time afterwards. I tried not to interrupt the suspect and followed the topics they talked about while trying to ask all the questions that I had written down. ","I did better this time than the first time, but I believe that is largely due to the suspect's willingness to speak, allowing me to follow the 80/20 protocol better. However, I think I could have asked more specific questions. "
2023-09-16 15:09:21,2023-09-16 15:26:40,IP Address,130.241.234.232,100,1038,True,2023-09-16 15:26:41,R_3dKQjQMHsh7WSBr,,,,,57.7065,11.967,anonymous,EN,6,1,30,Female,Yes,"a course in science in social work ",5,5,2," I applied the basics - introduction, open questions and then I got from there. It's hard to know what kind of questions to ask when you don't know what they are first going to say. I always tried to think about open questions (even if it's hard sometimes) and clarification. Last I was thinking about having a good ending of the interview. ","Yes. I could've asked more questions about how both the person in black and the female on the 3rd floor looked like. More detailed questions about the information I didn't already have. "
2023-09-16 15:40:48,2023-09-16 15:58:54,IP Address,130.241.248.221,100,1086,True,2023-09-16 15:58:55,R_22LgaucmSlyLbHl,,,,,57.7065,11.967,anonymous,EN,2,2,,,,,6,4,2,"I made a plan about how to go about the interviw and what type of questions to ask the suspect. I also made a note of the diffrent places mentions in the casefile so that I could ask the suspect about that. In the interview I tried to ask general to specific questions about the people and places she had been too during the day.  ",I would like to have been more specific in asking what she was doing during the time she spend with her friend in the hospital and gotten more details.
2023-09-16 15:56:53,2023-09-16 16:03:34,IP Address,130.241.217.196,100,401,True,2023-09-16 16:03:35,R_245HzjnMteBNd7m,,,,,57.7065,11.967,anonymous,EN,1,2,,,,,6,6,A substantial amount,"The suspect altered his story several times and couldn't keep the facts straight. Eventually I felt compelled to let the suspect know that I knew he was lying. 

This interview I tried to apply the focus better - who, what, where and how. ",Perhaps taken a step back once the suspect showed insecurities when he realized that he was caught lying.
2023-09-16 16:21:36,2023-09-16 16:24:47,IP Address,130.241.217.45,100,190,True,2023-09-16 16:24:48,R_324LrOfsEQa3P1W,,,,,57.7065,11.967,anonymous,EN,4,3,,,,,3,2,5,primarily the introduction and the closing of the interview but also trying to parse out the suspects movement through the building chronologically,I think I came of as accusatory and he became a bit defensive as a reaction to this
2023-09-16 16:23:02,2023-09-16 16:27:06,IP Address,130.241.218.82,100,244,True,2023-09-16 16:27:07,R_OkXoWypa32T3da9,,,,,57.8833,11.8167,anonymous,EN,8,3,,,,,5,5,6,"The same way as in the earlier interviews; introduction, open questions, repeating/clarifying story, asking about things that I did and did not have information about. ","This interview went very well, again, because of the suspect's willingness to speak. There was also a lot to cover as the suspect visited several floors and told me about all of them in fair amount of detail. I tried very hard not to ask suggestive questions (it's very hard not to!), but some still probably slipped through, so that could have gone better. I didn't ask some things that probably would have been good to ask, like why he decided to order an amazon packet to his friends work."
2023-09-16 17:15:41,2023-09-16 17:20:36,IP Address,130.241.217.196,100,295,True,2023-09-16 17:20:37,R_3KGVBGw1eWoXWDe,,,,,57.7065,11.967,anonymous,EN,1,3,,,,,6,4,A substantial amount,"Started out with what we learned, however, as we progressed the suspect clearly lied about his events. I tried very hard to stich with the focused questions... at least I think I did ","This was an interesting case and I would have liked more time especially since he was given contraindicating versions. "
2023-09-17 10:23:08,2023-09-17 10:28:17,IP Address,130.241.217.170,100,308,True,2023-09-17 10:28:17,R_2TBLHd6NQvuhKs5,,,,,57.7065,11.967,anonymous,EN,4,4,,,,,5,5,2,The suspects activities whilst inside the Walter & Sons building were described in chronological order. Opening and closing of the interview was performed as instructed on day 1 of this study.,Perhaps I gave the suspect an easy way out by asking if people in the building had similar clothing (i.e. could be mistaken for her on camera and by witnesses). If I were to redo the interview I would not ask such a narrow and leading question.
2023-09-17 10:26:57,2023-09-17 10:34:59,IP Address,130.241.218.51,100,481,True,2023-09-17 10:35:00,R_11csFG3Nsdl1yvG,,,,,57.8833,11.8167,anonymous,EN,5,3,,,,,Extremely well,5,4,"I made a summary of what we know and what we dont. I structred a plan outline for me to follow (flexible depending on the answers). 

During the interview I tried to phrase my questions in a non suggestive way as much as i can and tried to gather as much as information from the suspect about what they did and seen so I can have a more detailed time frame besides from what the evidence suggests. ","Yes, I feel like I could ask them to describe the rooms they were in more details so i would have a better chance in determining if they were in the room that the crime took place. There were moments I felt like summarizing suspect's statements made me question if I was being suggestive. "
